Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","661","Cocoa, beans","2014","2014","ha","372637","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","661","Cocoa, beans","2015","2015","ha","432094","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","661","Cocoa, beans","2016","2016","ha","454257","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","661","Cocoa, beans","2017","2017","ha","467327","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","661","Cocoa, beans","2018","2018","ha","501950","","Official data"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","661","Cocoa, beans","2010","2010","ha","1600200","","Official data"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","661","Cocoa, beans","2011","2011","ha","1600300","","Official data"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","661","Cocoa, beans","2012","2012","ha","1600300","","Official data"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","661","Cocoa, beans","2013","2013","ha","1600300","","Official data"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","661","Cocoa, beans","2014","2014","ha","1683765","","Official data"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","661","Cocoa, beans","2015","2015","ha","1683765","","Official data"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","661","Cocoa, beans","2016","2016","ha","1683765","*","Unofficial figure"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","661","Cocoa, beans","2017","2017","ha","1867648","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","81","Ghana","5312","Area harvested","661","Cocoa, beans","2018","2018","ha","1707146","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","661","Cocoa, beans","2010","2010","ha","1272430","","Official data"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","661","Cocoa, beans","2011","2011","ha","1241329","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","661","Cocoa, beans","2012","2012","ha","1266347","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","661","Cocoa, beans","2013","2013","ha","1239750","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","661","Cocoa, beans","2014","2014","ha","1144659","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","661","Cocoa, beans","2015","2015","ha","1056893","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","661","Cocoa, beans","2016","2016","ha","1048945","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","661","Cocoa, beans","2017","2017","ha","1154654","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","661","Cocoa, beans","2018","2018","ha","1222844","Im","FAO data based on imputation methodology"
